storage_id,section
storage2-4A_6,2
storage3-4A_6,3
storage4-4A_6,4
storage1-4A_7,1
storage2-4A_7,2
storage3-4A_7,3
storage4-4A_7,4
storage1-4B_1,1
storage2-4B_1,2
storage3-4B_1,3
storage4-4B_1,4
storage1-4B_2,1
storage2-4B_2,2
storage3-4B_2,3
storage4-4B_2,4
storage1-4B_3,1
storage2-4B_3,2
storage3-4B_3,3
storage4-4B_3,4
storage1-4B_4,1
storage2-4B_4,2
storage3-4B_4,3
storage4-4B_4,4
storage1-4B_5,1
storage2-4B_5,2
storage3-4B_5,3
storage4-4B_5,4
storage1-4B_6,1
storage2-4B_6,2
storage3-4B_6,3
storage4-4B_6,4
storage1-4B_7,1
storage2-4B_7,2
storage3-4B_7,3
storage4-4B_7,4
storage1-5A_1,1
storage2-5A_1,2
storage3-5A_1,3
storage4-5A_1,4
storage1-5A_2,1
storage2-5A_2,2
storage3-5A_2,3
storage4-5A_2,4
storage1-5A_3,1
storage2-5A_3,2
storage3-5A_3,3
storage4-5A_3,4
storage1-5A_4,1
storage2-5A_4,2
storage3-5A_4,3
storage4-5A_4,4
storage1-5A_5,1
storage2-5A_5,2
storage3-5A_5,3
storage4-5A_5,4
storage1-5A_6,1
storage2-5A_6,2
storage3-5A_6,3
storage4-5A_6,4
storage1-5A_7,1
storage2-5A_7,2
storage3-5A_7,3
storage4-5A_7,4
storage1-5B_1,1
storage2-5B_1,2
storage3-5B_1,3
storage4-5B_1,4
storage1-5B_2,1
storage2-5B_2,2
storage3-5B_2,3
storage4-5B_2,4
storage1-5B_3,1
storage2-5B_3,2
storage3-5B_3,3
storage4-5B_3,4
storage1-5B_4,1
storage2-5B_4,2
storage3-5B_4,3
storage4-5B_4,4
storage1-5B_5,1
storage2-5B_5,2
storage3-5B_5,3
storage4-5B_5,4
storage1-5B_6,1
storage2-5B_6,2
storage3-5B_6,3
storage4-5B_6,4
storage1-5B_7,1
storage2-5B_7,2
storage3-5B_7,3
storage4-5B_7,4
